"","Mean","StdDev","5.5%","94.5%","a","ß","sigma"
"a",13.897,0.546,13.024,14.769,1,0.007,0.015
"ß",-1.22,0.453,-1.943,-0.497,0.007,1,0.472
"sigma",3.801,0.523,2.965,4.636,0.015,0.472,1
