"","Mean","StdDev","5.5%","94.5%","a","ß","sigma"
"a",13.899,0.561,13.003,14.795,1,0.006,0.015
"ß",-1.077,0.446,-1.79,-0.364,0.006,1,0.423
"sigma",3.946,0.528,3.102,4.79,0.015,0.423,1
